English,German
"to take on a new role","eine neue Rolle übernehmen"
"professional background","beruflicher Hintergrund"
"to build good relationships with","gute Beziehungen aufbauen zu"
"to understand something","etwas verstehen"
"local perspective","lokale Perspektive"
"to apply something consistently","etwas konsequent / einheitlich anwenden"
"local requirements","lokale Anforderungen"
"to take local requirements into account","lokale Anforderungen berücksichtigen"
"local circumstances","lokale Gegebenheiten / Umstände"
"to reflect local circumstances","lokale Gegebenheiten berücksichtigen"
"essential","wesentlich / unerlässlich"
"to build trust","Vertrauen aufbauen"
"to gain confidence in","Vertrauen in etwas gewinnen"
"to take ownership of","Verantwortung für etwas übernehmen"
"to contribute to","zu etwas beitragen"
"HR initiatives","HR-Initiativen"
"organization","Organisation"
"colleagues","Kolleginnen und Kollegen / Kollegen"
"to find the right balance between A and B","die richtige Balance zwischen A und B finden"
"to comply with","etwas einhalten / entsprechen"
"to present somebody with something","jemandem etwas präsentieren / vorlegen"
"to align on something","sich auf etwas abstimmen / etwas gemeinsam abstimmen"
"clarity","Klarheit"
"to create clarity","Klarheit schaffen"
"to retain skilled employees","qualifizierte Mitarbeitende halten"
"beyond","über ... hinaus"
"to go beyond something","über etwas hinausgehen"
"assignment","Einsatz / Entsendung"
"international assignment","internationale Entsendung"
"common understanding","gemeinsames Verständnis"
"to adjust priority","eine Priorität anpassen"
"skilled employee","qualifizierte Fachkraft / qualifizierter Mitarbeitender"
"relevant stakeholder","relevanter Stakeholder"
"transparent framework","transparenter Rahmen"
"to provide feedback","Feedback geben"
"to identify opportunities","Möglichkeiten / Chancen identifizieren"
"to expand skills","Fähigkeiten erweitern"
"internal mobility","interne Mobilität"
"active participation","aktive Teilnahme / aktive Beteiligung"
"insightful questions","aufschlussreiche / fundierte Fragen"
"to gather feedback","Feedback einholen / sammeln"
"perspectives","Perspektiven / Sichtweisen"
"reference job list","Referenzstellenliste"
"to refine something","etwas verfeinern / präzisieren"
"generic","allgemein / generisch"
"inevitably","zwangsläufig / unvermeidlich"
"slotting process","Slotting-Prozess / Zuordnungsprozess"
"to map a role","eine Rolle zuordnen / abbilden"
"anchor roles","Ankerrollen"
"career stream","Karrierestream / Laufbahn"
"scope","Umfang / Zuständigkeitsbereich"
"impact","Auswirkung / Einfluss"
"responsibilities","Verantwortlichkeiten / Aufgaben"
"corresponding","entsprechend / zugehörig"
"to avoid double work","Doppelarbeit vermeiden"
"duplicate efforts","doppelte Arbeit / Doppelaufwand"
"to validate","überprüfen / validieren"
"to finalize","abschließen / finalisieren"
"policy","Richtlinie"
"upcoming","bevorstehend / anstehend"
"career path","Karriereweg"
"to streamline the slotting process","den Zuordnungsprozess effizienter gestalten"
"to paste something","etwas einfügen / hineinkopieren"
"to reach a workable solution","eine praktikable Lösung finden"
"feasible","machbar / umsetzbar / realisierbar"
"a feasible solution","eine machbare / umsetzbare Lösung"
"rugged","robust / widerstandsfähig"
"harsh","hart / rau / widrig"
"environment","Umgebung / Umwelt; im IT-Kontext: Umgebung"
"harsh environment","raue / widrige Umgebung; anspruchsvolle Einsatzbedingungen"
"to work closely with","eng zusammenarbeiten mit"
"to support the business","das Geschäft / den Geschäftsbereich unterstützen"
"to find practical solutions","praktische Lösungen finden"
"a good understanding of","ein gutes Verständnis von"
"to implement","umsetzen / implementieren"
"stakeholder","Stakeholder / Beteiligter"
"to involve someone","jemanden einbeziehen"
"to take something into account","etwas berücksichtigen"
"to coordinate with","sich mit jemandem abstimmen"
"to balance","ausgleichen / in Einklang bringen"
"at an early stage","in einem frühen Stadium / frühzeitig"
"from my perspective","aus meiner Sicht"
"to some extent","bis zu einem gewissen Grad"
"the main concern","das Hauptanliegen / die größte Sorge"
